company,environment_rating,environment_percentage,united_states,europe,asia,ln_Sales,Profits,ln_assets,ln_marketvalue,ln_posts_per_year,ln_posts_per_day,has_location,bin_captions_per_year,bin_is_sponsored,ln_likes,ln_comments,bin_mention_counts,ln_hashtag_counts,ln_emoji_counts,total_green_mentions,total_green_hashtags,total_green_caption,total_green,is_video_green_diff,is_sponsored_green_diff,video_length_green_diff,likes_green_diff,comments_green_diff,caption_num_words_green_diff,caption_unique_words_green_diff,mention_counts_green_diff,hashtag_counts_green_diff,emoji_counts_green_diff
AES,61,74,1,0,0,4.633757642840004,3.02,5.821506249297426,4.489534842389167,4.875197323201151,0.32460266109567987,0.0,1,0,12.706206795533427,7.939761954393514,1,1.9868200517572454,0.4505855432415752,0.0,0.0,0.0,0.0,-0.1015625,0.0,-4.762203125,-94064.13281,-2520.46875,-0.9921875,-0.96875,0.0,-0.8046875,-0.0703125
AIRBUS,72,94,0,1,0,6.636877880399306,-20.92,7.1587007503179105,6.208489417414015,3.912023005428146,0.13500523236395717,0.040816327,1,0,10.722569037158316,5.520725953842347,2,2.4307449419243774,1.0426536350632307,0.0,0.040816326,0.12244898,0.163265306,-0.095238095,0.0,-18.96338095,-1037.357143,25.04761905,19.23809524,15.16666667,0.166666667,5.2380952380000005,0.523809524
ALFA,55,58,0,0,0,5.1521927250659,4.121,5.209158230228218,3.0699116717282426,5.545177444479562,0.560879211765023,0.050980392,0,0,12.097294728312834,9.726575806890809,2,0.8932829736691553,1.0772210988543598,0.003921569000000001,0.003921569000000001,0.011904762,0.0197479,-0.15261044199999999,0.0,-8.303891566,-7278.168675,-14672.98795,19.97389558,14.68473896,-0.447791165,0.9116465859999999,-0.447154472
AT&T,72,93,1,0,0,7.491740282272947,144.17,8.604203568405367,7.69009395833823,6.2878585601617845,0.9493659833778589,0.003724395,0,0,6.858924890518719,4.75251403294549,2,0.9481790853989925,0.551050425153919,0.00744879,0.0018621970000000001,0.052238806,0.061549793,-0.12857142900000001,0.0,-8.583296177000001,-436.8042757,-51.13410463,2.465794769,1.8793762580000002,-0.098641851,-0.141549296,-0.091935484
AbbVie,68,88,1,0,0,5.810122510427528,78.39,6.793634279877438,7.10235119665148,4.3694478524670215,0.20708611476367494,0.0,1,0,5.796174648187921,2.0794415416798357,0,1.5834624260729449,0.1971680649530543,0.0,0.026666667,0.128205129,0.154871796,-0.18235294100000002,0.0,-7.347970588,-18.51176471,-1.376470588,2.9088235289999997,0.967647059,0.0029411759999999998,0.032352941,0.094117647
Accenture,76,97,0,1,0,6.10381060693952,49.717,5.8172004416917575,7.073871231429158,4.477336814478207,0.22843923877624422,0.022988506000000002,1,0,8.055248951785995,3.3915726683498413,0,1.0674813700689838,0.9047299095474977,0.0,0.0,0.16091954000000003,0.16091954000000003,-0.14285714300000002,0.0,-3.1093506489999996,-1058.335065,-13.798701300000001,99.42727273,60.45714286,-0.15974026,0.32987013,0.032467532
Adidas,79,99,0,1,0,5.5258114405995045,15.287,5.433852999340729,6.109336467702871,4.189654742026425,0.17541477059802654,0.26153846199999997,1,0,11.34595919457855,6.685034715071141,2,0.6296337748786031,0.4407332470446322,0.046511628,0.0,0.12307692200000002,0.16958855,-0.45,0.0,-85.36555,3390.166667,56.83333333,23.81666667,17.78333333,0.566666667,0.133333333,-0.166666667
Adobe,72,94,1,0,0,4.7641378170837365,32.321999999999996,5.36194922679281,7.441226543671986,5.123963979403259,0.4005365620868572,0.011976048000000001,0,0,8.628772057575134,4.072245887775902,2,0.3200854965194837,0.6181119947533948,0.013245033,0.037735849,0.06626506,0.117245942,-0.104301075,0.0,-5.171737633999999,-337.7274194,6.351075269,23.49784946,17.10645161,0.27903225800000003,0.311827957,-0.38311688299999996
Aegon,69,90,0,1,0,5.690595912852025,13.867,8.45744955641693,3.985830932572866,3.970291913552122,0.14270745227243467,0.076923077,1,0,4.404841312487045,0.7121953753042247,1,1.6727737876203517,0.8527773260862554,0.0,0.09615384599999999,0.23076923000000002,0.32692307600000003,0.079545455,0.0,0.48409090899999996,10.52272727,0.397727273,9.522727273,8.056818182,0.0,0.795454545,0.034090908999999996
Aflac,67,85,1,0,0,5.397936431576749,29.41,7.3245954451118065,5.598644156532896,3.258096538021482,0.07115376055024646,0.0,1,0,5.418763519623904,3.2140642678709788,1,0.6931471805599453,0.14842000511827322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
